fen,best
3r4/1k2R1pp/pp3p2/2p5/2P5/P5B1/1Pn2PPP/5K2 b - - 2 27,b7c6
6k1/5pp1/1p2p2p/p7/4B2q/2P2PQ1/PP2RP2/3r2K1 w - - 1 35,g1g2
7k/p6p/1p1p2p1/2p3BP/8/1B3K2/PP5P/R3q3 b - - 0 35,e1a1
2k4r/ppp2ppp/5q2/1Q1r4/5P2/b3P3/PPPB1P1P/2KR3R w - - 3 16,b5d5
1r4k1/1rp2ppp/2p1bn2/8/q2PP3/1P1Q1P2/2PR2PP/2K2B1R w - - 0 24,b3a4
r1b1k2r/ppp4p/2p3pq/2bPPn2/5p2/2N2N2/PPP3PP/R1BQR1K1 w kq - 1 15,g1h1
r2q1rBk/pppb1pp1/2nbp3/3p4/3P4/2P1PNP1/PPQN1PP1/R3K2R b KQ - 2 12,h8g8
5k2/5pbp/p1N2n1p/Pp2p3/r6P/6P1/3RK3/8 b - - 9 45,f6e4
8/7p/5N2/6p1/7k/5P1P/1r4PK/8 b - - 1 45,b2b6
r2qbrk1/5p1p/pp2p1p1/2p1Q3/2P3N1/1P1P4/P4PPP/4RRK1 b - - 1 20,f7f5
r4rk1/1bpqb1pp/2n2p2/1p2pN2/p3N1Q1/2PP3P/PPB2PP1/R3R1K1 b - - 4 19,g8h8
r4rk1/pb1n1pp1/1pq1p2p/2p1B3/2PP4/3QPP2/P5PP/1BR2RK1 b - - 2 19,d7e5
2r3k1/5pp1/p3p2p/2r3q1/2P2n2/4R2P/P2N1PP1/1Q1R2K1 w - - 7 30,d2f3
r2q1rk1/2p1bppp/p1b1pN2/1p6/2nP4/P1PQ1N2/1P3PPP/1B1RR1K1 b - - 7 18,e7f6
2k4r/1pp1bppp/4pn2/1N6/5B2/2P4P/P4PP1/3R2K1 b - - 2 21,c7c6
8/2k5/8/4R1p1/3p1nP1/3P1BK1/4P3/6r1 w - - 1 56,g3f2
3rr1k1/pp3pp1/6b1/1Q3PN1/8/P3n3/1P1q2PP/R4R1K w - - 1 26,f5g6
r4rk1/Pq3p2/5Q1p/4p1n1/8/4B1P1/1PPR2KP/5R2 w - - 5 30,g2g1
r1bkr3/ppppnp1p/4q1p1/1N2Q1N1/8/3BP3/2P2PPP/2R2RK1 b - - 0 18,e6e5
3k1b1r/pp3ppp/2P1pn2/8/5B2/1P3B2/P4PPP/qN1R2K1 b - - 1 14,d8c8
6k1/1bq2r1p/7P/6B1/3bp3/1QNp4/PP4P1/5R1K w - - 2 39,c3d5
4NQ1k/p2r3p/6p1/2p5/3b4/8/P1q2rPP/3R1R1K b - - 1 25,f2f8
r4R1k/7p/p6r/Pp2q3/1P4R1/6P1/5QK1/8 b - - 1 36,a8f8
7k/6p1/6Q1/5P1p/7P/6PK/8/3q4 w - - 5 45,g6g5
rnb1k2r/pp2bppp/3q1n2/2p5/1PPp4/P4N1P/1B1PP1P1/RN1QKB1R w KQkq - 0 10,b4c5
r1bqr3/1p2npkp/p3N3/2ppnP2/3b2Q1/2NP4/PPP3BP/R4R1K b - - 1 17,g7h8
6R1/p1P2p2/1p5k/7p/3P4/2P5/PP2q1PP/R3N2K w - - 3 31,c7c8q
6k1/r2n1ppp/2pN2b1/2P5/4PP2/1Q4P1/r3BK2/8 b - - 0 34,d7c5
r2r2k1/p1qnbppp/1p2p3/1Pp5/N1P3n1/4Pb1P/PBQ1BPP1/R4RK1 w - - 0 15,e2f3
2R2Nbk/1r4pQ/5p1p/1q6/3PP3/6P1/1P3P1P/6K1 b - - 9 46,g8h7
r3r1k1/p6p/1p1p2p1/2pP1p2/B1b5/8/PR1Q1PPP/4q1K1 w - - 0 22,d2e1
8/8/2R4p/3N1p1k/7P/4n1K1/PPr3P1/8 b - - 1 37,c2c6
7k/R4pp1/p1N5/Pp4K1/4n1P1/1r6/3B4/8 w - - 0 42,g5h5
k5r1/pp3N2/1pp1p2p/3r2p1/8/7P/1Q3PPB/R2q2K1 w - - 6 34,a1d1
rnbk3r/ppp3pp/4Bn2/2b1ppN1/3q4/8/PPPP1PPP/RNBQK2R w KQ - 8 9,e6c8
5rk1/6pp/p1p5/4QRq1/2PBr3/1P6/P5P1/5RK1 b - - 0 35,e4e5
2r4k/1p1r1p1P/p5p1/q2pp1P1/4P3/n1N2Q2/1PP5/2K2R1R b - - 1 27,a3c4
Q1k3r1/1pp5/p2p3q/3Pp1r1/2P1P3/P1NB2nb/1P6/1K3RR1 b - - 1 31,c8d7
rn1q2rk/3bb3/2p1pBQ1/1pPp3p/pP1P4/P1N1PN2/5PPP/R4RK1 b - - 0 18,e7f6
rnbqkb1r/ppp2B1p/3p3n/8/4P3/5Q2/PPPP2PP/RNB2RK1 b kq - 0 9,h6f7
6k1/3R2pp/4p3/4N3/4nP2/6P1/1r3PKP/8 b - - 2 31,e4f2
rn1q3r/pp2b1pk/2p4p/3nP3/3PN3/3Q4/PPP3PP/R1B2RK1 b - - 3 16,d5b4
r1bqkb1r/pp1pnppp/2n5/1N2p3/4P3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 7,a7a6
2r5/5pp1/PRp1p3/2NpP1P1/3P1k1K/8/8/8 w - - 0 43,a6a7
6k1/6p1/7r/3P2N1/5p2/2Bq4/1P3PP1/4R1K1 b - - 0 46,d3d5
2r2r1k/pQ5p/1p1p2qP/8/5Pp1/8/PPP5/2KR3R w - - 3 27,d1d6
2r2rk1/p1q1bpp1/bp2p2p/8/2nNP1nB/2P5/PPB1N1PP/R1Q2RK1 w - - 1 19,h4e7
